runnumber,scaledown00,scaledown01,scaledown02,scaledown03,scaledown04,scaledown05,scaledown06,scaledown07,scaledown08,scaledown09,scaledown10,scaledown11,scaledown12,scaledown13,scaledown14,scaledown15,scaledown16,scaledown17,scaledown18,scaledown19,scaledown20,scaledown21,scaledown22,scaledown23,scaledown24,scaledown25,scaledown26,scaledown27,scaledown28,scaledown29,scaledown30,scaledown31,scaledown32,scaledown33,scaledown34,scaledown35,scaledown36,scaledown37,scaledown38,scaledown39,scaledown40,scaledown41,scaledown42,scaledown43,scaledown44,scaledown45,scaledown46,scaledown47,scaledown48,scaledown49,scaledown50,scaledown51,scaledown52,scaledown53,scaledown54,scaledown55,scaledown56,scaledown57,scaledown58,scaledown59,scaledown60,scaledown61,scaledown62,scaledown63
51572,93831,-1,-1,23,-1,-1,-1,-1,-1,-1,8818,-1,395,-1,-1,-1,-1,2,0,0,-1,-1,-1,-1,-1,36,2,0,-1,-1,-1,-1,-1,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51573,93831,-1,-1,21,-1,-1,-1,-1,-1,-1,6387,-1,192,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,24,1,0,-1,-1,-1,-1,-1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51574,93831,-1,-1,16,-1,-1,-1,-1,-1,-1,5756,-1,164,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,20,1,0,-1,-1,-1,-1,-1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51575,93831,-1,-1,14,-1,-1,-1,-1,-1,-1,4396,-1,103,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,14,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51576,93831,-1,-1,14,-1,-1,-1,-1,-1,-1,4268,-1,98,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,14,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51605,93831,-1,-1,29,-1,-1,-1,-1,-1,-1,19583,-1,1753,-1,-1,-1,-1,4,1,0,-1,-1,-1,-1,-1,77,4,1,-1,-1,-1,-1,-1,2,0,0,5,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51607,938310,-1,-1,100,-1,-1,-1,-1,-1,-1,19583,-1,400,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,20,20,-1,-1,-1,-1,-1,2,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51619,938310,-1,-1,100,-1,-1,-1,-1,-1,-1,19583,-1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,20,20,-1,-1,-1,-1,-1,2,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51709,938315,-1,-1,103,-1,-1,-1,-1,-1,-1,7637,-1,123,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,2,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51710,938315,-1,-1,95,-1,-1,-1,-1,-1,-1,7049,-1,88,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
